Season,NAT,Club_Name,TSR,STR,PDO,Pass_Success,Possesion,Team_Value,AGE,FPPsq,Country Score,Rating,Pts
103,1213,ITA,Lazio,0.533957,0.538091,992.4184,0.806316,0.506053,3.66,27.3,0.676470588,59.981,6.93,41.829
104,1213,ITA,Genoa,0.480136,0.512525,960.309,0.758947,0.462368,2.75,26.1,0.463414634,59.981,6.81,17.829
105,1213,ITA,Napoli,0.544006,0.619458,1055.58,0.827895,0.542105,7.04,27.3,0.53125,59.981,7.1,46.829
106,1314,ITA,Inter,0.560143,0.551623,1029.142,0.830263,0.548421,5.46,24.4,0.62,64.147,7.03,95.387
107,1314,ITA,AC Milan,0.571011,0.579908,990.483,0.836053,0.570789,7.11,24.8,0.487804878,64.147,6.88,98.387
108,1314,ITA,Roma,0.595329,0.661536,1072.711,0.858684,0.589474,3.7,22.7,0.517241379,64.147,7.09,39.887
109,1314,ITA,Fiorentina,0.54916,0.509183,1012.783,0.856316,0.586842,4.36,25,0.647058824,64.147,6.96,49.387
110,1314,ITA,Juventus,0.609092,0.67359,1075.122,0.855,0.560789,8.93,24.9,0.377777778,64.147,7.09,80.387
111,1314,ITA,Udinese,0.474154,0.480463,982.5152,0.775789,0.496316,2.04,23,0.683333333,64.147,6.86,29.887
112,1314,ITA,Sampdoria,0.510045,0.491657,953.0507,0.787632,0.473421,1.43,23.5,0.327586207,64.147,6.82,17.387
113,1314,ITA,Lazio,0.529252,0.540896,983.101,0.800263,0.491842,3.1,23.9,0.596153846,64.147,6.87,52.387
114,1314,ITA,Genoa,0.388066,0.410272,1041.755,0.777895,0.474737,1.63,23.6,0.5,64.147,6.79,18.387
115,1314,ITA,Napoli,0.552654,0.566335,1061.208,0.831579,0.547368,7.26,25.7,0.71875,64.147,7,61.387
116,1314,FRA,Lyon,0.502389,0.508403,918.8057,0.762647,0.490588,3.12,23.2,0.416666667,59,6.87,97.3
117,1314,FRA,Marseille,0.512747,0.489517,926.0544,0.772286,0.501714,4.34,24.5,0.441176471,59,6.91,70.3
118,1314,FRA,Bordeaux,0.485825,0.462617,987.6401,0.773529,0.502941,1.81,24.9,0.628571429,59,6.9,52.3
119,1314,FRA,Paris Saint,0.477445,0.501789,946.8707,0.776,0.500571,11.59,24,0.46875,59,7.1,80.3
120,1314,FRA,Lille,0.504428,0.4676,867.4497,0.778235,0.495294,2.43,24.5,0.548387097,59,6.96,45.3
121,1314,FRA,Saint-Etienne,0.524605,0.5319,900.5369,0.775588,0.494706,3.11,24.3,0.264705882,59,6.95,12.8
122,1314,FRA,Toulouse,0.527494,0.540672,997.5395,0.772647,0.501765,2.59,22.8,0.561402564,59,6.84,16.3
123,1314,FRA,Rennes,0.505141,0.562106,1033.989,0.778,0.504571,1.56,23.3,0.538461585,59,6.81,14.3
124,1314,FRA,Sochaux,0.500048,0.534212,1045.971,0.765429,0.501143,1.36,23.3,0.568181818,59,6.7,12.8
125,1314,FRA,Nice,0.467913,0.443504,1112.721088,0.775143,0.498,1.46,22.2,0.333333333,59,6.73,12.8
126,1314,FRA,Montpellier,0.49889,0.526212,908.344671,0.766571,0.495476,1.83,24.1,0.419354839,59,6.81,18.3
127,1314,FRA,Guingamp,0.476732,0.504122,1001.937442,0.749118,0.488235,0.607,25.6,0.5,59,6.74,12.8
128,1213,FRA,Lyon,0.490662,0.519413,998.0045,0.760571,0.492286,3.71,23.8,0.452380952,54.178,6.88,95.8
129,1213,FRA,Marseille,0.493691,0.482491,996.9274,0.770571,0.505143,4.08,24.1,0.5,54.178,6.89,78.8
130,1213,FRA,Bordeaux,0.477707,0.465077,904.4468,0.773824,0.505882,2.63,25.1,0.533333333,54.178,6.85,59.8
131,1213,FRA,Paris Saint,0.450058,0.501686,1003.923,0.734857,0.464,10.09,26.2,0.454545455,54.178,7.07,71.8
132,1213,FRA,Lille,0.503346,0.489644,928.7465,0.771176,0.505882,3.9,25.5,0.444444444,54.178,6.81,45.8
133,1213,FRA,Saint-Etienne,0.494162,0.545027,981.3959,0.787353,0.525,2.76,24.2,0.4,54.178,6.92,26.8
134,1213,FRA,Nancy,0.487056,0.469229,915.805,0.745143,0.465143,1.01,22.7,0.484848484,54.178,6.82,18.8
135,1213,FRA,Toulouse,0.479881,0.487771,1041.106,0.782941,0.486765,3.08,23.1,0.5,54.178,6.85,16.8
136,1213,FRA,Rennes,0.513485,0.510902,931.3725,0.777647,0.507059,2.63,23.2,0.5625,54.178,6.79,16.8
137,1213,FRA,Sochaux,0.500105,0.472864,891.5266,0.77,0.508824,1.46,23.6,0.666666667,54.178,6.83,13.3
138,1213,FRA,Montpellier,0.534962,0.553823,1047.301587,0.769143,0.512,2.61,24.9,0.375,54.178,6.86,18.8
139,1112,FRA,Marseille,0.512133,0.524569,1092.5,0.750333,0.517,5.19,25.1,0.451612903,53.678,6.88,85.835
140,1112,FRA,Bordeaux,0.539378,0.503969,1059.012,0.767742,0.525806,2.96,24.2,0.566666667,53.678,6.82,58.835
141,1112,FRA,Paris Saint,0.477007,0.48077,986.8122,0.737667,0.487667,6.37,25.5,0.514285714,53.678,6.95,45.835
142,1112,FRA,Lille,0.52043,0.514145,992.8059,0.775806,0.523548,4.58,25.4,0.586206897,53.678,6.92,38.835
143,1112,FRA,Saint-Etienne,0.503033,0.508679,1025.297,0.742258,0.472903,2.19,24.4,0.371428571,53.678,6.81,25.835
144,1112,FRA,Nancy,0.504559,0.512253,799.3856,0.767419,0.532581,1.47,24.4,0.567567568,53.678,6.76,17.835
